Reference, Value, Footprint, Datasheet, Distributor, Manuf. Part, Field4, Field6, Field7, Field8
"U5","LM25085MM","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/ds/symlink/lm25085.pdf","lcsc.com","LM25085MM/NOPB","","","",""
"R10","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201611_YAGEO-RC0805FR-0710KL_C84376.pdf","lcsc.com","RC0805FR-0710KL","","","",""
"C8","0.47uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2009111606_TDK-C2012X7R1C474KT000N_C694187.pdf","lcsc.com","C2012X7R1C474KT000N","","","",""
"R8","90.9","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810301711_KOA-Speer-Elec-RK73B2ATTD102J_C159911.pdf","lcsc.com","RK73B2ATTD102J","","","",""
"C11","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C2012X7R2A102KT020S_C415298.pdf","lcsc.com","C2012X7R2A102KT020S","","","",""
"R12","2.1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2001062136_YAGEO-RC0805FR-072K1L_C273922.pdf","lcsc.com","RC0805FR-072K1L","","","",""
"R9","3.4k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-AC0805FR-073K4L_C228795.pdf","lcsc.com","RC0805FR-073K4L ","","","",""
"C10","47uF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C3225X5R0J476MT000N_C338024.pdf","lcsc.com","C3225X5R0J476MT000N","","","",""
"L1","15uH","blueled:SMMS1350-150M","https://datasheet.lcsc.com/szlcsc/1912111437_Sunlord-MWSA1004S-150MT_C408488.pdf","lcsc.com","MWSA1004S-150MT","","","",""
"D5","MBRB2060","Package_TO_SOT_SMD:TO-263-3_TabPin2","https://datasheet.lcsc.com/szlcsc/Sangdest-Microelectronicstronic-Nanjing-MBRB2060CT_C260296.pdf","lcsc.com","MBRB2060CT","","","",""
"C9","4700pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C2012C0G1H472JT0H0N_C342964.pdf","lcsc.com","C2012C0G1H472JT0H0N","","","",""
"S1","SWITCH-DPDT-PTH-GPI-152-3013","blueled:XKB7070-Z","https://datasheet.lcsc.com/szlcsc/2002271810_XKB-Enterprise-XKB7070-Z_C318863.pdf","lcsc.com","XKB7070-Z","SWCH-10554","","",""
"C2","22uF","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1809131544_Vishay-Intertech-593D226X9004A2TE3_C215881.pdf","lcsc.com","593D226X9004A2TE3","","","",""
"D1","+3.3V","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1811141223_TOGIALED-TJ-S1608SW6TGLC2G-A5_C192316.pdf","lcsc.com","TJ-S1608SW6TGLC2G-A5 ","","","",""
"R2","150","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-RC0805FR-07150RL_C114523.pdf","lcsc.com","RC0805FR-07150RL","","","",""
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf","lcsc.com","AMS1117-3.3","","","",""
